user_id,timestamp,ip_address,location,device_type,login_status,session_duration,access_resource,activity_count
USR013,2025-01-24 13:01:05,114.121.142.243,"Medan, Indonesia",mobile,success,24.37,API,88
USR016,2025-02-28 13:09:17,114.121.57.9,"Medan, Indonesia",mobile,success,28.06,API,12
USR002,2025-03-19 11:04:17,36.68.56.176,"Medan, Indonesia",mobile,success,8.63,API,56
USR032,2025-03-22 11:57:11,103.28.7.43,"Medan, Indonesia",desktop,success,16.04,admin_panel,1636
USR003,2025-03-29 14:15:13,182.1.38.246,"Yogyakarta, Indonesia",mobile,success,39.53,API,11
USR022,2025-03-21 14:55:27,172.111.29.207,"Bali, Indonesia",mobile,success,24.37,admin_panel,138
USR013,2025-01-26 09:37:14,180.244.188.160,"Medan, Indonesia",mobile,failed,0.7,admin_panel,9
USR035,2025-03-30 12:40:34,36.68.10.212,"Yogyakarta, Indonesia",tablet,success,34.96,dashboard,63
USR006,2025-02-20 10:15:07,182.1.61.134,"Semarang, Indonesia",mobile,success,36.92,API,77
USR038,2025-01-24 10:27:32,36.68.63.133,"Bandung, Indonesia",tablet,success,14.06,dashboard,100
USR009,2025-02-13 10:58:51,180.244.30.6,"Jakarta, Indonesia",tablet,success,43.76,dashboard,24
USR018,2025-02-07 14:05:45,103.28.201.244,"Surabaya, Indonesia",mobile,failed,0.37,dashboard,8
USR009,2025-03-06 02:40:00,182.1.200.216,"Jakarta, Indonesia",tablet,failed,27.58,database,45
USR038,2025-01-13 17:21:17,36.68.243.110,"Bandung, Indonesia",tablet,success,48.76,API,48
USR007,2025-01-01 11:20:08,114.121.142.183,"Jakarta, Indonesia",mobile,failed,0.17,database,9
USR001,2025-03-28 16:49:47,182.1.114.251,"Surabaya, Indonesia",mobile,failed,53.02,API,98
USR025,2025-03-14 15:49:15,180.244.234.175,"Medan, Indonesia",tablet,success,37.28,dashboard,24
USR036,2025-01-01 09:50:38,182.1.155.228,"Medan, Indonesia",tablet,success,16.38,API,53
USR037,2025-03-19 12:21:58,36.68.25.28,"Surabaya, Indonesia",tablet,success,14.8,API,88
USR004,2025-01-20 16:10:09,185.220.230.242,"Paris, France",tablet,success,8.49,API,62
USR015,2025-03-17 11:00:04,36.68.117.18,"Semarang, Indonesia",desktop,success,52.28,dashboard,40
USR027,2025-01-18 11:04:45,114.121.4.56,"Yogyakarta, Indonesia",tablet,success,25.53,API,95
USR037,2025-01-30 16:47:46,36.68.89.107,"Surabaya, Indonesia",tablet,success,14.67,admin_panel,60
USR020,2025-03-12 11:07:23,172.111.72.10,"Makassar, Indonesia",mobile,success,29.44,database,49
USR006,2025-03-02 17:47:03,182.1.204.68,"Semarang, Indonesia",mobile,success,32.6,API,26
USR023,2025-02-16 15:40:45,36.68.223.18,"Surabaya, Indonesia",desktop,success,33.81,database,12
USR036,2025-01-31 15:41:45,103.28.229.203,"Medan, Indonesia",tablet,success,21.18,dashboard,41
USR026,2025-03-30 17:06:47,114.121.33.94,"Makassar, Indonesia",tablet,failed,23.62,API,61
USR040,2025-03-29 15:55:13,36.68.51.36,"Bali, Indonesia",desktop,success,37.43,dashboard,64
USR010,2025-02-24 14:05:05,36.68.217.228,"Yogyakarta, Indonesia",tablet,success,16.81,dashboard,96
